category,display_name,id,bestair,definition,source,time,method,formula,equipment,link
01 - Demographics,Age,age,age,Age at visit,Bestair,Visit 1 (Screening visit),reported by subject,,BestAIR Eligibility Form,
01 - Demographics,Ethnicity,ethnicity,ethnicity,Ethnicity,Bestair,Visit 1 (Screening visit),reported by subject,,BestAIR Eligibility Form,
01 - Demographics,Gender,gender,gender,Gender,Bestair,Visit 1 (Screening visit),reported by subject,,BestAIR Eligibility Form,
01 - Demographics,Race,race,race,Race,Bestair,Visit 1 (Screening visit),reported by subject,,BestAIR Eligibility Form,
01 - Demographics,Education,education,,,,,,,,
01 - Demographics,Income,income,,,,,,,,
01 - Demographics,Employed,employed,,,,,,,,
01 - Demographics,Shift work,shiftwork,,,,,,,,
02 - Anthropometry,Body mass index,bmi,bmi,Body mass index (BMI),Bestair,Visit 2 (Baseline research exam);  Visit 4 (12 month),Calculated,,,
02 - Anthropometry,Body mass index Z-Score,bmizscore,,,,,,,,
02 - Anthropometry,Height,height,avgheightcm,Average height,Bestair,Visit 2 (Baseline research exam);  Visit 4 (12 month),Calculated,,wall-mounted stadiometer,
02 - Anthropometry,Hip circumference,hipcircum,avghipcm,Average hip circumference,Bestair,Visit 2 (Baseline research exam);  Visit 4 (12 month),Calculated,,non-stretchable measuring tape ,
02 - Anthropometry,Neck circumference,neckcircum,avgneckcm,Average neck circumference,Bestair,Visit 2 (Baseline research exam);  Visit 4 (12 month),Calculated,,non-stretchable measuring tape ,
02 - Anthropometry,Tonsilar size,tonsilsize,,,,,,,,
02 - Anthropometry,Waist circumference,waistcirum,avgwaistcm,Average waist circumference,Bestair,Visit 2 (Baseline research exam);  Visit 4 (12 month),Calculated,,non-stretchable measuring tape ,
02 - Anthropometry,Waist/hip ratio,waisthip,,,,,,,,
02 - Anthropometry,Weight,weight,,,,,,,,
03 - Physiological Measurements,Diastolic blood pressure,diastolicbp,avgseateddiastolic,Average seated diastolic blood pressure (DBP),Bestair,Visit 2 (Baseline research exam);  Visit 4 (12 month),Calculated,, automated blood pressure sphygmomanometer,
03 - Physiological Measurements,Heart rate,heartrate,,,,,,,,
03 - Physiological Measurements,Systolic blood pressure,systolicbp,avgseatedsystolic,Average seated systolic blood pressure (SBP),Bestair,Visit 2 (Baseline research exam);  Visit 4 (12 month),Calculated,, automated blood pressure sphygmomanometer,
03A - Physiological Measurements - Electrocardiogram,Atrial fibrillation - electrocardiogram,afibekg,,,,,,,,
03A - Physiological Measurements - Ambulatory Blood Pressure,Weighted average of diastolic blood pressure,bp24dbpweight,bp24dbpweight,Weighted average of diastolic blood pressure (DBP),Bestair,Visit 2 (Baseline research exam);  Visit 4 (12 month),Calculated,,Spacelabs  Ambulatory Blood Pressure monitor,
03A - Physiological Measurements - Ambulatory Blood Pressure,Weighted average of mean arterial pressure,bp24mapweight,bp24mapweight,Weighted average of mean arterial pressure (MAP),Bestair,Visit 2 (Baseline research exam);  Visit 4 (12 month),Calculated,,Spacelabs  Ambulatory Blood Pressure monitor,
03A - Physiological Measurements - Ambulatory Blood Pressure,Weighted average of systolic blood pressure,bp24sbpweight,bp24sbpweight,Weighted average of systolic blood pressure (SBP),Bestair,Visit 2 (Baseline research exam);  Visit 4 (12 month),Calculated,,Spacelabs  Ambulatory Blood Pressure monitor,
03A - Physiological Measurements - Ambulatory Blood Pressure,Presence of diastolic blood pressure dipping,dianondipping,dianondipping,Presence of diastolic blood pressure (DBP) dipping,Bestair,Visit 2 (Baseline research exam);  Visit 4 (12 month),Assessed,,Spacelabs  Ambulatory Blood Pressure monitor,
03A - Physiological Measurements - Ambulatory Blood Pressure,Sleep end time,endsleep,endsleep,Sleep end time,Bestair,Visit 2 (Baseline research exam);  Visit 4 (12 month),Measured,,Spacelabs  Ambulatory Blood Pressure monitor,
03A - Physiological Measurements - Ambulatory Blood Pressure,End time,endtime,endtime,End time,Bestair,Visit 2 (Baseline research exam);  Visit 4 (12 month),Measured,,Spacelabs  Ambulatory Blood Pressure monitor,
03A - Physiological Measurements - Ambulatory Blood Pressure,Presence of heart rate dipping,heartnondipping,heartnondipping,Presence of heart rate dipping,Bestair,Visit 2 (Baseline research exam);  Visit 4 (12 month),Assessed,,Spacelabs  Ambulatory Blood Pressure monitor,
03A - Physiological Measurements - Ambulatory Blood Pressure,Presence of mean arterial pressure dipping,mapnondipping,mapnondipping,Presence of mean arterial pressure dipping,Bestair,Visit 2 (Baseline research exam);  Visit 4 (12 month),Assessed,,Spacelabs  Ambulatory Blood Pressure monitor,
03A - Physiological Measurements - Ambulatory Blood Pressure,Number of readings,nreadings,nreadings,Number of readings,Bestair,Visit 2 (Baseline research exam);  Visit 4 (12 month),Measured,,Spacelabs  Ambulatory Blood Pressure monitor,
03A - Physiological Measurements - Ambulatory Blood Pressure,Number of sleep readings,nsleep,nsleep,Number of sleep readings,Bestair,Visit 2 (Baseline research exam);  Visit 4 (12 month),Measured,,Spacelabs  Ambulatory Blood Pressure monitor,
03A - Physiological Measurements - Ambulatory Blood Pressure,Number of valid readings,nvalid,nvalid,Number of valid readings,Bestair,Visit 2 (Baseline research exam);  Visit 4 (12 month),Measured,,Spacelabs  Ambulatory Blood Pressure monitor,
03A - Physiological Measurements - Ambulatory Blood Pressure,Number of awake readings,nwake,nwake,Number of awake readings,Bestair,Visit 2 (Baseline research exam);  Visit 4 (12 month),Measured,,Spacelabs  Ambulatory Blood Pressure monitor,
03A - Physiological Measurements - Ambulatory Blood Pressure,Percent valid readings,pctvalid,pctvalid,Percent valid readings,Bestair,Visit 2 (Baseline research exam);  Visit 4 (12 month),Calculated,,Spacelabs  Ambulatory Blood Pressure monitor,
03A - Physiological Measurements - Ambulatory Blood Pressure,Sleep start time,startsleep,startsleep,Sleep start time,Bestair,Visit 2 (Baseline research exam);  Visit 4 (12 month),Measured,,Spacelabs  Ambulatory Blood Pressure monitor,
03A - Physiological Measurements - Ambulatory Blood Pressure,Start time,starttime,starttime,Start time,Bestair,Visit 2 (Baseline research exam);  Visit 4 (12 month),Measured,,Spacelabs  Ambulatory Blood Pressure monitor,
03A - Physiological Measurements - Ambulatory Blood Pressure,Presence of systolic blood pressure dipping,sysnondipping,sysnondipping,Presence of systolic blood pressure (SBP) dipping,Bestair,Visit 2 (Baseline research exam);  Visit 4 (12 month),Assessed,,Spacelabs  Ambulatory Blood Pressure monitor,
04 - Medical History,Anxiety disorder,anixietyhist,shq_anxietydisorder,Self-reported physician diagnosis of anxiety disorder,Bestair,Visit 2 (Baseline research exam),Self-reported physician diagnosed,,,
04 - Medical History,Asthma,asthmahist,shq_asthma,Self-reported physician diagnosis of asthma,Bestair,Visit 2 (Baseline research exam),Self-reported physician diagnosed,,,
04 - Medical History,Atrial fibrillation - history,afibhist,,,,,,,,
04 - Medical History,Attention deficit hyperactivity disorder,adhdhist,shq_add_adhd,Self-reported physician diagnosis of attention deficit hyperactivity disorder (ADD/ADHD),Bestair,Visit 2 (Baseline research exam),Self-reported physician diagnosed,,,
04 - Medical History,Cancer - history,cancerhist,shq_bloodcancer,Self-reported physician diagnosis of blood cancer/leukemia/lymphoma/other,Bestair,Visit 2 (Baseline research exam),Self-reported physician diagnosed,,,
04 - Medical History,Cancer - history,cancerhist,shq_breastcancer,Self-reported physician diagnosis of breast cancer,Bestair,Visit 2 (Baseline research exam),Self-reported physician diagnosed,,,
04 - Medical History,Cancer - history,cancerhist,shq_cancer,Self-reported physician diagnosis of cancer,Bestair,Visit 2 (Baseline research exam),Self-reported physician diagnosed,,,
04 - Medical History,Cancer - history,cancerhist,shq_coloncancer,Self-reported physician diagnosis of colon cancer,Bestair,Visit 2 (Baseline research exam),Self-reported physician diagnosed,,,
04 - Medical History,Cancer - history,cancerhist,shq_lungcancer,Self-reported physician diagnosis of lung cancer,Bestair,Visit 2 (Baseline research exam),Self-reported physician diagnosed,,,
04 - Medical History,Cancer - history,cancerhist,shq_prostatecancer,Self-reported physician diagnosis of prostate cancer,Bestair,Visit 2 (Baseline research exam),Self-reported physician diagnosed,,,
04 - Medical History,Cardiac arrhythmia - history,arrhythmiahist,,,,,,,,
04 - Medical History,Cardiovascular disease - history,cvdishist,,,,,,,,
04 - Medical History,Chronic obstructive pulmonary disease/emphysema - history,copdhist,shq_chronicbronchitis,Self-reported physician diagnosis of chronic bronchitis,Bestair,Visit 2 (Baseline research exam),Self-reported physician diagnosed,,,
04 - Medical History,Chronic obstructive pulmonary disease/emphysema - history,copdhist,shq_emphysema,Self-reported physician diagnosis of emphysema/COPD,Bestair,Visit 2 (Baseline research exam),Self-reported physician diagnosed,,,
04 - Medical History,Congestive heart failure - history,chfhist,,,,,,,,
04 - Medical History,Coronary artery disease - history,cadhist,,,,,,,,
04 - Medical History,Depression,depresshist,shq_depression,Self-reported physician diagnosis of depression,Bestair,Visit 2 (Baseline research exam),Self-reported physician diagnosed,,,
04 - Medical History,Diabetes mellitus - history,dmhist,shq_diabetes,Self-reported physician diagnosis of diabetes,Bestair,Visit 2 (Baseline research exam),Self-reported physician diagnosed,,,
04 - Medical History,Diabetes mellitus - history,dmhist,shq_diabetesmed,Self-reported medications for diabetes,Bestair,Visit 2 (Baseline research exam),Self-reported physician diagnosed,,,
04 - Medical History,Eating disorder,eatingdishist,,,,,,,,
04 - Medical History,Eczema,eczemahist,,,,,,,,
