category,display_name,id,cfs,definition,source,time,method,formula,equipment,link
01 - Demographics,Age,age,age,Age at time of visit,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- Baseline lab adult/child questionairre,
01 - Demographics,Age,age,age_category,Age at time of visit,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- Baseline lab adult/child questionairre,
01 - Demographics,Ethnicity,ethnicity,ethnicity,Subject ethnicity,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- Baseline lab adult/child questionairre,
01 - Demographics,Ethnicity,ethnicity,hispanic,Hispanic,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- Baseline lab adult/child questionairre,
01 - Demographics,Gender,gender,sex,Sex,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- Baseline lab adult/child questionairre,
01 - Demographics,Race,race,amindian,Race - Native American,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- Baseline lab adult/child questionairre,
01 - Demographics,Race,race,asian,Race - Asian,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- Baseline lab adult/child questionairre,
01 - Demographics,Race,race,black,Race - Black,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- Baseline lab adult/child questionairre,
01 - Demographics,Race,race,hawaiip,Race - Hawaiian or Pacific Islander,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- Baseline lab adult/child questionairre,
01 - Demographics,Race,race,race,Race,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- Baseline lab adult/child questionairre,
01 - Demographics,Race,race,white,Race - Caucasian,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- Baseline lab adult/child questionairre,
02 - Anthropometry,Body mass index,bmi,bmi,BMI,CFS,Visit 5,Calculated,,,
02 - Anthropometry,Body mass index,bmi,bmige30,BMI greater than 30?,CFS,Visit 5,Calculated,,,
02 - Anthropometry,Body mass index,bmi,bmiround,BMI (rounded to 3 decimal places),CFS,Visit 5,Calculated,,,
02 - Anthropometry,Body mass index Z-Score,bmizscore,,,,,,,,
02 - Anthropometry,Height,height,htcm,Height,CFS,Visit 5,Measured,,CFS in lab physio form-holtain stadiometer,
02 - Anthropometry,Height,height,hhtcm,Height (cm),CFS,Visit 5,Measured,,CFS in lab physio form-holtain stadiometer,
02 - Anthropometry,Hip circumference,hipcircum,hipcm,Mean hip circumference,CFS,Visit 5,Calculated,,inelastic tape measure,
